Disease,N_CFE,RRR_est,p_single
Hypertension,1,0.1029,0.1029
Hypertension,2,0.1952,0.1029
Hypertension,3,0.278,0.1029
Hypertension,5,0.4189,0.1029
Hypertension,10,0.6623,0.1029
Hypertension,20,0.886,0.1029
Diabetes,1,0.0971,0.0971
Diabetes,2,0.1848,0.0971
Diabetes,3,0.264,0.0971
Diabetes,5,0.4,0.0971
Diabetes,10,0.64,0.0971
Diabetes,20,0.8704,0.0971
Dyslipidemia,1,0.1256,0.1256
Dyslipidemia,2,0.2355,0.1256
Dyslipidemia,3,0.3315,0.1256
Dyslipidemia,5,0.4889,0.1256
Dyslipidemia,10,0.7388,0.1256
Dyslipidemia,20,0.9318,0.1256
