instance_idx,has_recourse,age_group,subgroup
46,1,young,female
62,0,young,female
96,1,young,female
97,0,young,female
133,0,young,female
148,1,young,female
272,1,young,female
320,1,young,female
375,0,young,female
422,0,young,female
423,1,young,female
445,1,young,female
469,0,young,female
538,1,young,female
539,0,young,female
547,0,young,female
555,1,young,female
574,1,young,female
608,1,young,female
677,0,young,female
689,1,young,female
703,1,young,female
724,0,young,female
738,1,young,female
780,1,young,female
808,1,young,female
811,1,young,female
813,0,young,female
824,0,young,female
863,1,young,female
902,1,young,female
904,1,young,female
937,1,young,female
968,0,young,female
999,1,young,female
1004,1,young,female
1007,1,young,female
1047,0,young,female
1084,1,young,female
1099,1,young,female
1111,1,young,female
1113,1,young,female
1134,1,young,female
1140,1,young,female
1152,1,young,female
1189,1,young,female
1334,1,young,female
1337,1,young,female
1367,0,young,female
1384,0,young,female
1401,1,young,female
1557,1,young,female
1561,1,young,female
1574,0,young,female
1654,1,young,female
1675,1,young,female
1705,0,young,female
1729,1,young,female
1800,1,young,female
1812,1,young,female
1813,1,young,female
1855,0,young,female
1862,0,young,female
1890,1,young,female
1929,1,young,female
1965,1,young,female
1988,1,young,female
2067,1,young,female
2160,1,young,female
2189,0,young,female
2195,1,young,female
2204,1,young,female
2209,1,young,female
2242,0,young,female
2261,0,young,female
2317,1,young,female
2318,1,young,female
2336,0,young,female
2345,1,young,female
2426,0,young,female
2518,1,young,female
2535,0,young,female
2536,1,young,female
2548,0,young,female
2621,0,young,female
2643,1,young,female
2739,1,young,female
2748,1,young,female
2777,0,young,female
2947,0,young,female
2983,1,young,female
3014,1,young,female
3017,1,young,female
3063,1,young,female
3118,1,young,female
3120,0,young,female
3128,0,young,female
3152,0,young,female
3172,1,young,female
3199,1,young,female
3226,1,young,female
3254,1,young,female
3262,1,young,female
3265,0,young,female
3388,1,young,female
3404,1,young,female
3469,1,young,female
3502,1,young,female
3547,0,young,female
3556,0,young,female
3573,0,young,female
3607,1,young,female
3632,1,young,female
3636,1,young,female
3643,1,young,female
3644,0,young,female
3660,1,young,female
3673,1,young,female
3683,1,young,female
3734,1,young,female
3743,0,young,female
3781,0,young,female
3798,1,young,female
3843,1,young,female
3867,0,young,female
3886,1,young,female
3897,1,young,female
3921,1,young,female
4006,1,young,female
4042,1,young,female
4070,1,young,female
4175,0,young,female
4213,1,young,female
4229,0,young,female
4244,1,young,female
4340,0,young,female
4355,0,young,female
4366,0,young,female
4441,1,young,female
4509,1,young,female
4531,1,young,female
4586,0,young,female
4649,0,young,female
4669,1,young,female
4723,1,young,female
4823,1,young,female
4909,1,young,female
4923,0,young,female
4938,0,young,female
5068,1,young,female
5085,1,young,female
5108,1,young,female
5130,0,young,female
5149,1,young,female
5191,0,young,female
5195,0,young,female
5217,0,young,female
5226,0,young,female
5243,0,young,female
5249,1,young,female
5264,1,young,female
5304,1,young,female
5309,1,young,female
5322,1,young,female
5325,0,young,female
5358,0,young,female
5390,0,young,female
5450,1,young,female
5459,1,young,female
5531,0,young,female
5649,1,young,female
5673,1,young,female
5707,0,young,female
5817,1,young,female
5820,1,young,female
5845,1,young,female
5958,1,young,female
5985,1,young,female
6096,0,young,female
6162,1,young,female
6197,0,young,female
6209,1,young,female
6402,1,young,female
6409,1,young,female
6412,0,young,female
6413,1,young,female
6584,1,young,female
6640,1,young,female
6648,0,young,female
6715,0,young,female
6780,1,young,female
6815,1,young,female
6837,1,young,female
6949,1,young,female
7018,0,young,female
7022,0,young,female
7068,0,young,female
7073,1,young,female
7135,0,young,female
7176,1,young,female
7286,1,young,female
7308,0,young,female
7309,1,young,female
7313,1,young,female
7437,1,young,female
7442,1,young,female
7523,1,young,female
7619,1,young,female
7642,0,young,female
7706,1,young,female
7723,1,young,female
7733,1,young,female
7742,1,young,female
7765,0,young,female
7789,1,young,female
7839,1,young,female
7841,0,young,female
7848,1,young,female
7872,1,young,female
7885,1,young,female
7966,1,young,female
7982,0,young,female
3967,0,middle,female
3524,1,middle,female
3393,1,middle,female
312,0,middle,female
4803,0,middle,female
4476,1,middle,female
3426,0,middle,female
5618,0,middle,female
640,1,middle,female
3758,0,middle,female
5545,1,middle,female
575,1,middle,female
7012,1,middle,female
761,0,middle,female
4815,1,middle,female
5016,1,middle,female
4878,0,middle,female
5464,1,middle,female
7036,1,middle,female
7688,1,middle,female
741,1,middle,female
7185,1,middle,female
1859,1,middle,female
2252,0,middle,female
3979,1,middle,female
5343,0,middle,female
2622,0,middle,female
2045,0,middle,female
7041,1,middle,female
3720,0,middle,female
6463,1,middle,female
5342,1,middle,female
7934,0,middle,female
4636,0,middle,female
7622,0,middle,female
7478,0,middle,female
1473,1,middle,female
2927,0,middle,female
4383,1,middle,female
1354,0,middle,female
4907,1,middle,female
2473,0,middle,female
6374,1,middle,female
2529,1,middle,female
2343,0,middle,female
4297,1,middle,female
6577,1,middle,female
1770,1,middle,female
5928,0,middle,female
5551,0,middle,female
3788,1,middle,female
5514,0,middle,female
529,1,middle,female
4824,1,middle,female
4085,0,middle,female
109,1,middle,female
1714,1,middle,female
4588,1,middle,female
5432,1,middle,female
682,0,middle,female
6079,1,middle,female
1238,1,middle,female
2256,1,middle,female
7656,1,middle,female
1508,0,middle,female
311,0,middle,female
3382,0,middle,female
3109,1,middle,female
501,1,middle,female
293,1,middle,female
1835,1,middle,female
3473,0,middle,female
54,1,middle,female
3273,1,middle,female
4216,1,middle,female
5763,0,middle,female
5128,1,middle,female
7763,1,middle,female
7869,1,middle,female
3145,1,middle,female
3675,0,middle,female
3709,1,middle,female
7699,1,middle,female
2561,0,middle,female
4113,0,middle,female
1485,1,middle,female
5656,0,middle,female
2235,0,middle,female
3702,0,middle,female
1994,1,middle,female
374,0,middle,female
1649,1,middle,female
6013,1,middle,female
7618,0,middle,female
4792,1,middle,female
556,0,middle,female
2096,0,middle,female
562,1,middle,female
3664,1,middle,female
6149,1,middle,female
4090,1,middle,female
790,1,middle,female
7794,1,middle,female
2466,0,middle,female
2119,1,middle,female
4161,1,middle,female
2198,1,middle,female
5091,1,middle,female
2133,0,middle,female
2104,1,middle,female
3990,0,middle,female
5115,1,middle,female
753,0,middle,female
701,1,middle,female
537,0,middle,female
6643,0,middle,female
7083,0,middle,female
1009,1,middle,female
5781,1,middle,female
7973,1,middle,female
2387,0,middle,female
5106,0,middle,female
4475,1,middle,female
840,1,middle,female
7277,1,middle,female
5015,0,middle,female
4021,0,middle,female
3076,0,middle,female
4708,0,middle,female
989,1,middle,female
7660,0,middle,female
5483,1,middle,female
5761,1,middle,female
1128,1,middle,female
7855,0,middle,female
5725,0,middle,female
3561,1,middle,female
7703,1,middle,female
1809,1,middle,female
1955,1,middle,female
5806,1,middle,female
1268,1,middle,female
4384,0,middle,female
3575,0,middle,female
7154,0,middle,female
1441,1,middle,female
1199,1,middle,female
6821,1,middle,female
1978,1,middle,female
8038,0,middle,female
6370,0,middle,female
511,0,middle,female
918,0,middle,female
6633,1,middle,female
300,1,middle,female
594,1,middle,female
7549,1,middle,female
428,0,middle,female
3776,0,middle,female
1350,0,middle,female
2127,1,middle,female
2276,0,middle,female
4193,0,middle,female
1440,0,middle,female
7715,1,middle,female
3331,1,middle,female
3379,1,middle,female
5071,0,middle,female
4702,0,middle,female
4523,1,middle,female
4046,0,middle,female
7598,0,middle,female
3389,1,middle,female
1453,0,middle,female
2286,0,middle,female
532,0,middle,female
2447,1,middle,female
3760,1,middle,female
5659,0,middle,female
7961,1,middle,female
5265,0,middle,female
1857,0,middle,female
5442,1,middle,female
7534,0,middle,female
7545,0,middle,female
2922,1,middle,female
2075,1,middle,female
7123,1,middle,female
5182,0,middle,female
7514,1,middle,female
7631,0,middle,female
850,0,middle,female
7080,0,middle,female
5576,0,middle,female
4888,0,middle,female
7380,0,middle,female
7291,1,middle,female
2707,1,middle,female
5984,1,middle,female
3303,0,middle,female
3468,0,middle,female
4915,1,middle,female
6009,1,middle,female
3384,1,middle,female
6587,1,middle,female
994,0,middle,female
5361,0,middle,female
5129,1,middle,female
7344,0,middle,female
5822,1,middle,female
1861,1,middle,female
7640,1,middle,female
3137,1,middle,female
3682,1,middle,female
2366,0,middle,female
3353,1,middle,female
4401,0,middle,female
5962,1,middle,female
7481,0,middle,female
647,0,middle,female
308,0,middle,female
7246,0,middle,female
1962,1,middle,female
1777,0,middle,female
5062,0,middle,female
2848,0,middle,female
1186,0,middle,female
4405,0,middle,female
1255,1,middle,female
3703,0,middle,female
554,0,middle,female
1019,1,middle,female
6720,1,middle,female
2375,0,middle,female
6665,1,middle,female
7225,0,middle,female
2353,1,middle,female
5220,1,middle,female
1872,0,middle,female
3900,1,middle,female
2077,1,middle,female
1525,1,middle,female
3499,1,middle,female
1690,0,middle,female
4763,1,middle,female
1324,0,middle,female
2298,0,middle,female
464,1,middle,female
5670,1,middle,female
27,1,middle,female
6171,1,middle,female
3481,0,middle,female
7294,0,middle,female
1780,1,middle,female
4174,0,middle,female
2650,1,middle,female
8010,1,middle,female
4613,1,middle,female
314,0,middle,female
1400,0,middle,female
3916,1,middle,female
4501,0,middle,female
2328,1,middle,female
642,1,middle,female
671,1,middle,female
5430,0,middle,female
663,0,middle,female
2663,1,middle,female
5772,1,middle,female
6205,0,middle,female
3993,1,middle,female
2323,1,middle,female
5977,1,middle,female
5663,0,middle,female
74,1,middle,female
3274,1,middle,female
7236,1,middle,female
742,1,middle,female
7367,1,middle,female
6054,0,middle,female
7043,1,middle,female
1908,0,middle,female
3395,1,middle,female
7677,1,middle,female
2295,0,middle,female
7320,1,middle,female
7139,0,middle,female
890,0,middle,female
6717,1,middle,female
1782,1,middle,female
6024,1,middle,female
3510,1,middle,female
100,1,middle,female
1341,0,middle,female
4814,0,middle,female
660,0,middle,female
7604,0,middle,female
3791,1,middle,female
4902,1,middle,female
1726,1,middle,female
852,0,elderly,female
6585,0,elderly,female
5771,1,elderly,female
5079,1,elderly,female
4078,0,elderly,female
7663,0,elderly,female
7923,0,elderly,female
2080,1,elderly,female
4667,0,elderly,female
1496,0,elderly,female
7327,0,elderly,female
4271,1,elderly,female
3065,0,elderly,female
226,0,elderly,female
7758,0,elderly,female
2583,0,elderly,female
5090,0,elderly,female
1409,1,elderly,female
6619,1,elderly,female
1607,0,elderly,female
2389,0,elderly,female
1318,0,elderly,female
1304,0,elderly,female
2312,0,elderly,female
4433,0,elderly,female
7662,0,elderly,female
4204,0,elderly,female
6143,0,elderly,female
408,0,elderly,female
7861,1,elderly,female
6302,0,elderly,female
4208,1,elderly,female
2923,0,elderly,female
3441,1,elderly,female
227,1,elderly,female
743,0,elderly,female
7178,0,elderly,female
7853,0,elderly,female
4876,1,elderly,female
2124,0,elderly,female
4495,1,elderly,female
2046,0,elderly,female
2853,0,elderly,female
5919,0,elderly,female
6072,0,elderly,female
2699,0,elderly,female
5956,0,elderly,female
2372,1,elderly,female
174,0,elderly,female
1530,1,elderly,female
235,0,elderly,female
6704,0,elderly,female
2603,0,elderly,female
4968,0,elderly,female
1718,0,elderly,female
2498,0,elderly,female
396,0,elderly,female
8046,0,elderly,female
2627,0,elderly,female
7784,0,elderly,female
4983,0,elderly,female
1048,0,elderly,female
2600,0,elderly,female
3874,0,elderly,female
3114,1,elderly,female
2972,0,elderly,female
8050,1,elderly,female
2817,0,elderly,female
376,1,elderly,female
7356,1,elderly,female
407,1,elderly,female
4887,1,elderly,female
7974,0,elderly,female
1013,0,elderly,female
3507,0,elderly,female
6682,0,elderly,female
2344,1,elderly,female
2236,0,elderly,female
1876,1,elderly,female
4786,0,elderly,female
2297,0,elderly,female
4604,1,elderly,female
591,0,elderly,female
1488,0,elderly,female
1820,1,elderly,female
5738,0,elderly,female
1345,1,elderly,female
2898,0,elderly,female
5373,1,elderly,female
2255,0,elderly,female
3939,1,elderly,female
7868,1,elderly,female
4353,0,elderly,female
5632,1,elderly,female
4111,0,elderly,female
4721,0,elderly,female
2300,0,elderly,female
6154,0,elderly,female
1321,0,elderly,female
5332,0,elderly,female
2283,0,elderly,female
4172,1,elderly,female
3977,0,elderly,female
327,0,elderly,female
5787,0,elderly,female
2623,0,elderly,female
2269,0,elderly,female
4979,0,elderly,female
4662,0,elderly,female
7886,0,elderly,female
2470,0,elderly,female
6326,0,elderly,female
7318,0,elderly,female
1697,0,elderly,female
2059,1,elderly,female
3054,0,elderly,female
4578,0,elderly,female
7790,0,elderly,female
1659,0,elderly,female
3354,0,elderly,female
3272,0,elderly,female
7013,0,elderly,female
3637,1,elderly,female
5701,0,elderly,female
411,0,elderly,female
636,0,elderly,female
6797,1,elderly,female
6037,1,elderly,female
1224,1,elderly,female
2616,0,elderly,female
2464,0,elderly,female
7744,1,elderly,female
2465,1,elderly,female
2376,0,elderly,female
7882,1,elderly,female
333,1,elderly,female
439,1,elderly,female
1030,0,elderly,female
1657,0,elderly,female
2979,0,elderly,female
6244,0,elderly,female
6938,0,elderly,female
5635,1,elderly,female
740,0,elderly,female
3847,0,elderly,female
1288,0,elderly,female
5399,0,elderly,female
3038,0,elderly,female
3831,0,elderly,female
3778,1,elderly,female
1291,0,elderly,female
5496,1,elderly,female
2605,0,elderly,female
6681,0,elderly,female
5743,0,elderly,female
400,0,elderly,female
3854,0,elderly,female
940,0,elderly,female
3870,1,elderly,female
5258,0,elderly,female
3938,0,elderly,female
2448,0,elderly,female
1984,0,elderly,female
2428,0,elderly,female
7151,1,elderly,female
6252,0,elderly,female
5779,0,elderly,female
1118,0,elderly,female
5700,0,elderly,female
5573,1,elderly,female
7329,0,elderly,female
5440,1,elderly,female
7145,0,elderly,female
7400,0,elderly,female
7245,0,elderly,female
4114,1,elderly,female
5855,0,elderly,female
6940,0,elderly,female
5039,1,elderly,female
3176,0,elderly,female
1116,0,elderly,female
7924,0,elderly,female
5870,0,elderly,female
2086,0,elderly,female
6711,0,elderly,female
3820,0,elderly,female
7336,0,elderly,female
4029,1,elderly,female
3094,0,elderly,female
6359,0,elderly,female
6683,1,elderly,female
2319,0,elderly,female
7256,0,elderly,female
6061,1,elderly,female
1174,0,elderly,female
4080,0,elderly,female
1769,0,elderly,female
1035,0,elderly,female
5757,1,elderly,female
4095,0,elderly,female
1676,0,elderly,female
292,0,elderly,female
2113,0,elderly,female
2314,0,elderly,female
5856,0,elderly,female
2889,0,elderly,female
4392,0,elderly,female
1380,0,elderly,female
4683,0,elderly,female
3131,0,elderly,female
1881,0,elderly,female
6685,1,elderly,female
673,0,elderly,female
6535,1,elderly,female
6646,0,elderly,female
4452,1,elderly,female
1052,1,elderly,female
1993,1,elderly,female
2571,1,elderly,female
7543,0,elderly,female
2279,1,elderly,female
460,0,elderly,female
1982,1,elderly,female
7624,0,elderly,female
5697,0,elderly,female
6893,0,elderly,female
1925,0,elderly,female
4400,1,elderly,female
3762,0,elderly,female
1159,0,elderly,female
119,1,elderly,female
3235,1,elderly,female
5623,0,elderly,female
5982,0,elderly,female
5600,0,elderly,female
7378,1,elderly,female
6445,0,elderly,female
5717,1,elderly,female
4990,0,elderly,female
7155,0,elderly,female
6471,0,elderly,female
5996,0,elderly,female
7807,0,elderly,female
3057,1,elderly,female
1163,0,elderly,female
7876,1,elderly,female
6830,0,elderly,female
6041,1,elderly,female
3304,1,elderly,female
2451,0,elderly,female
2039,0,elderly,female
1671,1,elderly,female
2197,1,elderly,female
7566,0,elderly,female
4574,0,elderly,female
7558,1,elderly,female
5189,1,elderly,female
3032,1,elderly,female
360,1,elderly,female
1531,0,elderly,female
291,0,elderly,female
602,0,elderly,female
6075,0,elderly,female
603,1,elderly,female
7181,1,elderly,female
633,0,elderly,female
7058,1,elderly,female
5894,1,elderly,female
2995,0,elderly,female
2502,0,elderly,female
8037,1,elderly,female
3000,0,elderly,female
4053,0,elderly,female
5814,1,elderly,female
786,1,elderly,female
2271,0,elderly,female
2706,1,elderly,female
6394,0,elderly,female
6819,0,elderly,female
3033,1,elderly,female
2563,0,elderly,female
5848,0,elderly,female
4609,0,elderly,female
7422,0,elderly,female
2125,0,elderly,female
4714,0,elderly,female
2757,1,elderly,female
1950,0,elderly,female
5836,0,elderly,female
3782,0,elderly,female
3757,0,elderly,female
4945,0,elderly,female
5921,0,elderly,female
1267,0,elderly,female
7053,0,elderly,female
6137,0,elderly,female
1014,1,elderly,female
7896,1,elderly,female
2607,0,elderly,female
1434,0,elderly,female
4406,1,overall,female
4881,0,overall,female
2203,0,overall,female
4886,0,overall,female
1122,0,overall,female
1163,0,overall,female
6523,1,overall,female
3090,0,overall,female
7008,0,overall,female
7806,0,overall,female
7472,1,overall,female
7616,0,overall,female
2707,1,overall,female
3849,0,overall,female
4308,0,overall,female
1075,0,overall,female
5133,0,overall,female
1929,1,overall,female
4008,0,overall,female
1241,1,overall,female
3389,1,overall,female
4052,0,overall,female
3902,0,overall,female
1342,0,overall,female
3030,1,overall,female
4616,1,overall,female
3750,0,overall,female
5068,1,overall,female
7324,0,overall,female
5550,0,overall,female
6668,1,overall,female
2382,0,overall,female
1607,0,overall,female
4613,1,overall,female
5118,1,overall,female
968,0,overall,female
6093,1,overall,female
4888,0,overall,female
1925,0,overall,female
3986,0,overall,female
3386,0,overall,female
7879,0,overall,female
3794,0,overall,female
5791,1,overall,female
7665,0,overall,female
1441,1,overall,female
5373,1,overall,female
4629,1,overall,female
1564,1,overall,female
1705,0,overall,female
3656,0,overall,female
7883,1,overall,female
7604,0,overall,female
5854,0,overall,female
8039,1,overall,female
6041,1,overall,female
5999,1,overall,female
2454,0,overall,female
978,0,overall,female
5358,0,overall,female
466,0,overall,female
2392,0,overall,female
6014,0,overall,female
1719,0,overall,female
1649,1,overall,female
2622,0,overall,female
7734,1,overall,female
603,1,overall,female
4940,1,overall,female
1481,0,overall,female
1422,1,overall,female
3843,1,overall,female
1522,1,overall,female
1168,0,overall,female
3959,0,overall,female
6659,1,overall,female
1037,0,overall,female
3980,0,overall,female
3091,1,overall,female
2323,1,overall,female
4585,0,overall,female
1218,1,overall,female
5910,1,overall,female
7620,0,overall,female
2286,0,overall,female
4692,0,overall,female
3054,0,overall,female
5292,0,overall,female
5257,0,overall,female
4526,0,overall,female
6588,1,overall,female
130,0,overall,female
4366,0,overall,female
281,1,overall,female
1831,1,overall,female
4018,1,overall,female
1189,1,overall,female
5681,0,overall,female
3865,1,overall,female
5039,1,overall,female
4701,0,overall,female
2970,0,overall,female
980,1,overall,female
6112,0,overall,female
1977,0,overall,female
5130,0,overall,female
7159,1,overall,female
2289,1,overall,female
3675,0,overall,female
3985,0,overall,female
994,0,overall,female
6726,1,overall,female
3134,0,overall,female
4876,1,overall,female
1410,0,overall,female
5551,0,overall,female
6619,1,overall,female
5963,1,overall,female
7236,1,overall,female
6880,0,overall,female
5921,0,overall,female
