instance_idx,has_recourse,age_group,subgroup
4,1,young,male
16,0,young,male
20,0,young,male
48,1,young,male
57,1,young,male
64,1,young,male
95,1,young,male
115,1,young,male
126,1,young,male
167,1,young,male
212,1,young,male
227,1,young,male
231,1,young,male
242,1,young,male
339,0,young,male
360,1,young,male
367,0,young,male
424,0,young,male
431,0,young,male
432,0,young,male
441,1,young,male
454,1,young,male
484,1,young,male
513,0,young,male
541,1,young,male
549,0,young,male
554,0,young,male
555,1,young,male
565,1,young,male
579,0,young,male
629,1,young,male
639,1,young,male
643,0,young,male
674,1,young,male
676,1,young,male
684,0,young,male
693,1,young,male
698,1,young,male
722,1,young,male
725,0,young,male
760,0,young,male
825,1,young,male
878,1,young,male
887,1,young,male
916,1,young,male
927,1,young,male
952,1,young,male
962,1,young,male
1127,1,young,male
1149,1,young,male
1217,0,young,male
1233,1,young,male
1236,1,young,male
1238,1,young,male
1256,0,young,male
1280,1,young,male
1290,1,young,male
1296,1,young,male
1368,1,young,male
1376,1,young,male
1386,1,young,male
1400,0,young,male
1440,1,young,male
1459,1,young,male
1464,1,young,male
1477,1,young,male
1529,1,young,male
1552,0,young,male
1573,1,young,male
1583,1,young,male
1586,0,young,male
1641,1,young,male
1660,1,young,male
1662,1,young,male
1707,1,young,male
1742,1,young,male
1761,1,young,male
1766,1,young,male
1775,0,young,male
1792,1,young,male
1847,1,young,male
1859,1,young,male
1866,1,young,male
1873,1,young,male
1885,1,young,male
1896,0,young,male
1956,0,young,male
1962,1,young,male
2049,0,young,male
2062,0,young,male
2090,0,young,male
2103,0,young,male
2105,1,young,male
2107,1,young,male
2134,0,young,male
2144,1,young,male
2148,1,young,male
2149,0,young,male
2252,1,young,male
2257,1,young,male
2284,1,young,male
2286,1,young,male
2294,1,young,male
2360,0,young,male
2408,1,young,male
2431,0,young,male
2475,1,young,male
2477,1,young,male
2497,1,young,male
2502,1,young,male
2513,1,young,male
2517,0,young,male
2523,1,young,male
2600,1,young,male
2643,1,young,male
2648,0,young,male
2664,1,young,male
2671,1,young,male
2702,1,young,male
2794,1,young,male
2796,0,young,male
2801,1,young,male
2806,1,young,male
2812,1,young,male
2819,1,young,male
2920,1,young,male
2921,1,young,male
2965,1,young,male
2968,0,young,male
2982,1,young,male
2995,1,young,male
3134,1,young,male
3155,1,young,male
3162,0,young,male
3164,1,young,male
3207,1,young,male
3239,1,young,male
3282,1,young,male
3315,1,young,male
3357,0,young,male
3377,1,young,male
3383,1,young,male
3400,1,young,male
3453,1,young,male
3458,1,young,male
3466,1,young,male
3479,0,young,male
3514,1,young,male
3518,0,young,male
3558,0,young,male
3587,1,young,male
3597,1,young,male
3616,0,young,male
3618,1,young,male
3623,1,young,male
3660,1,young,male
3700,1,young,male
3716,1,young,male
3724,1,young,male
3750,0,young,male
3802,0,young,male
3866,1,young,male
3870,1,young,male
3926,1,young,male
3962,1,young,male
4006,1,young,male
4045,0,young,male
4051,1,young,male
4073,0,young,male
4083,0,young,male
4101,0,young,male
4134,1,young,male
4183,1,young,male
4216,0,young,male
4248,1,young,male
4295,0,young,male
4313,0,young,male
4323,1,young,male
4384,0,young,male
4385,0,young,male
4433,1,young,male
4442,0,young,male
4493,1,young,male
4503,1,young,male
4515,1,young,male
4522,1,young,male
4542,0,young,male
4557,1,young,male
4614,1,young,male
4655,1,young,male
4656,1,young,male
4666,0,young,male
4693,0,young,male
4726,0,young,male
4736,1,young,male
4764,1,young,male
4779,1,young,male
4784,1,young,male
4797,0,young,male
4838,0,young,male
4858,1,young,male
4860,1,young,male
4877,1,young,male
4921,1,young,male
4924,0,young,male
4951,0,young,male
4962,1,young,male
4969,1,young,male
5047,1,young,male
5060,1,young,male
5118,1,young,male
5133,1,young,male
5136,1,young,male
5149,0,young,male
5167,1,young,male
5207,1,young,male
5230,0,young,male
5240,1,young,male
5331,1,young,male
5369,0,young,male
5380,0,young,male
317,1,middle,male
1348,0,middle,male
2498,0,middle,male
2372,0,middle,male
190,0,middle,male
3953,0,middle,male
4437,0,middle,male
558,1,middle,male
336,1,middle,male
410,1,middle,male
4460,1,middle,male
4200,1,middle,male
892,0,middle,male
1746,0,middle,male
2870,0,middle,male
3208,1,middle,male
3040,0,middle,male
1916,1,middle,male
2591,1,middle,male
306,0,middle,male
5288,1,middle,male
4774,1,middle,male
3506,1,middle,male
2334,0,middle,male
3214,1,middle,male
1981,1,middle,male
155,0,middle,male
4886,0,middle,male
4096,1,middle,male
1438,0,middle,male
3771,1,middle,male
1499,0,middle,male
1703,1,middle,male
2754,0,middle,male
1160,0,middle,male
3702,1,middle,male
107,1,middle,male
3859,0,middle,male
4035,1,middle,male
2356,1,middle,male
293,1,middle,male
2804,0,middle,male
5001,0,middle,male
4497,1,middle,male
4255,0,middle,male
2647,0,middle,male
1646,1,middle,male
2041,1,middle,male
4088,1,middle,male
1490,0,middle,male
2649,1,middle,male
2867,1,middle,male
3919,0,middle,male
1186,0,middle,male
4901,0,middle,male
711,1,middle,male
4680,1,middle,male
3033,1,middle,male
3031,1,middle,male
4396,1,middle,male
198,0,middle,male
4094,1,middle,male
5123,1,middle,male
1391,1,middle,male
1170,0,middle,male
2341,1,middle,male
734,1,middle,male
3401,0,middle,male
2234,1,middle,male
4717,1,middle,male
1732,1,middle,male
3480,0,middle,male
1770,0,middle,male
1781,1,middle,male
715,1,middle,male
5089,1,middle,male
5150,1,middle,male
5109,1,middle,male
274,1,middle,male
3645,0,middle,male
3942,1,middle,male
3173,0,middle,male
3178,0,middle,male
301,1,middle,male
2350,1,middle,male
3525,1,middle,male
728,0,middle,male
3434,1,middle,male
2453,1,middle,male
2458,0,middle,male
1670,0,middle,male
3824,1,middle,male
853,0,middle,male
1750,1,middle,male
1301,1,middle,male
3184,1,middle,male
349,1,middle,male
3508,0,middle,male
4912,1,middle,male
4149,0,middle,male
4950,1,middle,male
1846,1,middle,male
3882,1,middle,male
2496,1,middle,male
5422,0,middle,male
4195,1,middle,male
5126,0,middle,male
1155,0,middle,male
1004,0,middle,male
3961,0,middle,male
1651,1,middle,male
2615,1,middle,male
3979,0,middle,male
3285,1,middle,male
2800,1,middle,male
3220,0,middle,male
3772,0,middle,male
