instance_idx,has_recourse,age_group,subgroup
7951,1,young,female
5434,1,young,female
1190,1,young,female
1329,1,young,female
1380,1,young,female
918,1,young,female
4555,1,young,female
11528,1,young,female
5940,0,young,female
2315,1,young,female
9680,0,young,female
6160,0,young,female
7845,0,young,female
4458,1,young,female
1702,1,young,female
5556,1,young,female
1875,1,young,female
10859,1,young,female
7136,1,young,female
5816,1,young,female
11402,0,young,female
3233,1,young,female
342,0,young,female
8195,1,young,female
11217,1,young,female
7316,0,young,female
75,1,young,female
2895,1,young,female
11265,1,young,female
600,1,young,female
711,0,young,female
240,0,young,female
1787,0,young,female
8538,1,young,female
11184,1,young,female
1974,1,young,female
2940,1,young,female
6689,1,young,female
1091,1,young,female
9741,1,young,female
7148,0,young,female
2956,1,young,female
9039,1,young,female
11916,1,young,female
507,1,young,female
690,0,young,female
1764,0,young,female
3692,0,young,female
1333,1,young,female
685,1,young,female
3655,1,young,female
6562,0,young,female
11950,0,young,female
5020,1,young,female
3552,1,young,female
5953,1,young,female
2708,1,young,female
149,1,young,female
10959,1,young,female
1162,1,young,female
7025,1,young,female
11881,1,young,female
4917,1,young,female
8812,0,young,female
2179,1,young,female
11086,1,young,female
1720,0,young,female
10858,0,young,female
120,0,young,female
435,1,young,female
3066,1,young,female
3119,1,young,female
4633,1,young,female
1498,1,young,female
7215,1,young,female
8237,1,young,female
11235,1,young,female
1789,1,young,female
7905,1,young,female
2280,1,young,female
12101,1,young,female
8128,1,young,female
4048,0,young,female
9658,1,young,female
11190,0,young,female
6841,1,young,female
9445,1,young,female
1741,1,young,female
7239,0,young,female
3053,1,young,female
383,1,young,female
1596,1,young,female
3775,0,young,female
200,1,young,female
458,1,young,female
5011,1,young,female
10590,1,young,female
10277,0,young,female
8772,0,young,female
7093,1,young,female
3255,1,young,female
11829,1,young,female
8266,1,young,female
1438,0,young,female
1826,1,young,female
8103,1,young,female
8238,0,young,female
6822,1,young,female
4290,1,young,female
2952,1,young,female
409,1,young,female
4455,1,young,female
597,0,young,female
3088,1,young,female
10314,1,young,female
8360,0,young,female
7378,0,young,female
6524,1,young,female
3887,1,young,female
4653,1,young,female
7005,0,young,female
12033,0,young,female
9256,0,young,female
6287,1,young,female
9950,0,young,female
10546,1,young,female
8217,1,young,female
3120,0,young,female
5181,1,young,female
6640,1,young,female
3776,1,young,female
8587,1,young,female
863,1,young,female
8214,0,young,female
4738,0,young,female
5191,1,young,female
5513,1,young,female
1433,1,young,female
2958,1,young,female
4318,1,young,female
198,1,young,female
8190,1,young,female
7826,0,young,female
268,1,young,female
8354,1,young,female
2818,0,young,female
1870,1,young,female
11735,1,young,female
6171,1,young,female
5485,1,young,female
5680,1,young,female
4358,1,young,female
5932,1,young,female
2159,1,young,female
5030,1,young,female
3939,1,young,female
9037,1,young,female
2269,1,young,female
1669,1,young,female
3209,0,young,female
2489,1,young,female
3878,0,young,female
8413,1,young,female
2536,1,young,female
11452,1,young,female
1636,0,young,female
523,1,young,female
869,1,young,female
3879,1,young,female
3174,1,young,female
1604,0,young,female
4912,1,young,female
5933,0,young,female
5829,1,young,female
8901,0,young,female
5187,1,young,female
3243,1,young,female
3926,0,young,female
6116,1,young,female
2068,0,young,female
9702,1,young,female
9567,1,young,female
9726,1,young,female
11440,1,young,female
8402,1,young,female
5231,0,young,female
12032,1,young,female
9394,0,young,female
5576,0,young,female
8026,1,young,female
3417,1,young,female
876,0,young,female
277,1,young,female
8853,0,young,female
5274,1,young,female
10082,1,young,female
2979,1,young,female
5120,1,young,female
10167,1,young,female
6986,1,young,female
3091,1,young,female
11082,1,young,female
11700,0,young,female
10367,1,young,female
11166,0,young,female
4604,0,young,female
6699,1,young,female
3652,1,young,female
4346,1,young,female
5740,1,young,female
5649,1,young,female
12010,1,young,female
100,1,young,female
5841,0,young,female
3073,1,young,female
6107,0,young,female
6118,1,young,female
606,1,young,female
3125,1,young,female
8564,1,young,female
6336,1,young,female
8813,1,young,female
10085,1,young,female
3256,1,young,female
1730,0,young,female
10799,1,young,female
677,1,young,female
1914,1,young,female
9513,0,young,female
2932,1,young,female
6571,1,young,female
6827,1,young,female
3576,1,young,female
5258,1,young,female
11248,0,young,female
1123,1,young,female
11081,1,young,female
1545,0,young,female
8256,0,young,female
2022,1,young,female
5280,1,young,female
1681,1,young,female
4471,1,young,female
287,0,young,female
746,1,young,female
672,1,young,female
4904,1,young,female
3787,1,young,female
8976,1,young,female
7655,1,young,female
4101,1,young,female
6560,1,young,female
6128,0,young,female
3470,1,young,female
2339,1,young,female
11185,1,young,female
1301,1,young,female
6843,0,young,female
8292,1,young,female
8516,1,young,female
5090,1,young,female
1071,1,young,female
8640,1,young,female
5891,1,young,female
7340,0,young,female
10308,1,young,female
122,1,young,female
7516,0,young,female
10838,1,young,female
2684,1,young,female
6463,1,young,female
9953,1,young,female
6022,1,young,female
4907,1,young,female
2605,1,young,female
6065,1,young,female
1440,0,young,female
1193,1,young,female
710,0,young,female
8020,1,young,female
5796,1,young,female
10773,1,young,female
671,1,young,female
8712,0,young,female
6564,1,young,female
7678,0,young,female
4523,1,young,female
9868,1,young,female
3669,1,young,female
1486,1,young,female
3611,1,young,female
3292,0,young,female
227,0,young,female
1535,0,young,female
337,1,young,female
4433,1,young,female
969,1,young,female
12216,1,young,female
9080,0,young,female
6069,1,young,female
1040,1,middle,female
9745,0,middle,female
8016,0,middle,female
10746,1,middle,female
7730,1,middle,female
3448,0,middle,female
6366,1,middle,female
7296,1,middle,female
3464,0,middle,female
5926,1,middle,female
2105,1,middle,female
5983,0,middle,female
880,0,middle,female
291,0,middle,female
353,1,middle,female
897,0,middle,female
9290,1,middle,female
7880,0,middle,female
9535,0,middle,female
9882,0,middle,female
12077,1,middle,female
1852,0,middle,female
10410,0,middle,female
9626,0,middle,female
2529,1,middle,female
2355,1,middle,female
10674,1,middle,female
6300,1,middle,female
10404,0,middle,female
9823,1,middle,female
3367,1,middle,female
6301,1,middle,female
5118,1,middle,female
11147,1,middle,female
11754,1,middle,female
5661,0,middle,female
3524,1,middle,female
890,0,middle,female
7887,0,middle,female
10749,1,middle,female
10349,1,middle,female
4949,1,middle,female
1039,0,middle,female
11945,0,middle,female
4996,0,middle,female
9834,1,middle,female
6608,0,middle,female
5068,1,middle,female
8598,0,middle,female
8444,1,middle,female
9970,0,middle,female
7166,1,middle,female
1125,1,middle,female
6318,1,middle,female
5581,0,middle,female
9629,1,middle,female
971,1,middle,female
453,0,middle,female
1419,1,middle,female
3784,0,middle,female
463,0,middle,female
8024,0,middle,female
3868,1,middle,female
2946,0,middle,female
10727,1,middle,female
11903,0,middle,female
1376,0,middle,female
1804,1,middle,female
4445,1,middle,female
11345,0,middle,female
4659,1,middle,female
5823,0,middle,female
5872,0,middle,female
7886,0,middle,female
1209,1,middle,female
7671,1,middle,female
1964,0,middle,female
5704,0,middle,female
5646,1,middle,female
8997,0,middle,female
6772,0,middle,female
964,1,middle,female
11752,0,middle,female
6684,0,middle,female
6493,0,middle,female
8029,1,middle,female
10250,0,middle,female
3268,1,middle,female
11468,1,middle,female
1907,1,middle,female
5278,1,middle,female
1351,0,middle,female
1781,1,middle,female
5672,1,middle,female
4370,0,middle,female
11684,1,middle,female
4056,1,middle,female
3730,0,middle,female
7223,0,middle,female
11078,0,middle,female
6669,0,middle,female
10401,0,middle,female
283,0,middle,female
8508,1,middle,female
6577,0,middle,female
6407,1,middle,female
9190,1,middle,female
9792,1,middle,female
5803,0,middle,female
10497,0,middle,female
7884,0,middle,female
9964,1,middle,female
3718,1,middle,female
11052,0,middle,female
6985,0,middle,female
4788,1,middle,female
1152,1,middle,female
7206,1,middle,female
7555,0,middle,female
2143,0,middle,female
5831,0,middle,female
11383,1,middle,female
903,0,middle,female
7589,0,middle,female
1503,1,middle,female
11249,1,middle,female
7972,0,middle,female
10371,0,middle,female
9261,0,middle,female
4972,1,middle,female
9564,0,middle,female
12210,1,middle,female
12237,1,middle,female
6978,0,middle,female
3588,0,middle,female
8780,1,middle,female
8168,0,middle,female
3526,0,middle,female
3790,0,middle,female
3630,1,middle,female
3362,1,middle,female
9571,0,middle,female
6999,1,middle,female
11429,1,middle,female
10682,1,middle,female
8122,1,middle,female
6404,1,middle,female
5586,0,middle,female
11893,1,middle,female
8687,1,middle,female
7475,1,middle,female
5348,1,middle,female
519,0,middle,female
8579,0,middle,female
4760,1,middle,female
3401,0,middle,female
949,0,middle,female
708,0,middle,female
8482,1,middle,female
3827,1,middle,female
9926,1,middle,female
9351,1,middle,female
3070,0,middle,female
2061,0,middle,female
6695,1,middle,female
7084,1,middle,female
9461,0,middle,female
12162,0,middle,female
5687,0,middle,female
2595,0,middle,female
10370,1,middle,female
1414,0,middle,female
7139,1,middle,female
5043,0,middle,female
10568,1,middle,female
4186,1,middle,female
3272,1,middle,female
3341,1,middle,female
3328,0,middle,female
8826,0,middle,female
1183,1,middle,female
3886,0,middle,female
4860,1,middle,female
8746,0,middle,female
4011,0,middle,female
6752,0,middle,female
2908,0,middle,female
7497,0,middle,female
5192,0,middle,female
12358,1,middle,female
5433,0,middle,female
9489,0,middle,female
2298,0,middle,female
12291,0,middle,female
4524,1,middle,female
8396,0,middle,female
2919,1,middle,female
3257,0,middle,female
4514,1,middle,female
864,1,middle,female
5618,1,middle,female
5678,1,middle,female
4730,1,middle,female
9415,0,middle,female
9086,0,middle,female
7773,0,middle,female
2058,1,middle,female
4577,1,middle,female
2539,0,middle,female
8907,0,middle,female
2556,1,middle,female
9487,1,middle,female
2893,0,middle,female
2373,1,middle,female
605,0,middle,female
1073,0,middle,female
7949,0,middle,female
1648,0,middle,female
9632,0,middle,female
2466,1,middle,female
7382,1,middle,female
326,0,middle,female
5814,0,middle,female
6279,0,middle,female
7746,0,middle,female
6779,1,middle,female
1877,1,middle,female
5404,0,middle,female
4096,0,middle,female
2912,1,middle,female
9179,0,middle,female
7906,0,middle,female
10836,1,middle,female
4606,1,middle,female
7228,1,middle,female
1042,1,middle,female
11273,1,middle,female
9881,1,middle,female
5795,0,middle,female
8937,1,middle,female
10484,0,middle,female
3958,1,middle,female
2980,0,middle,female
8335,1,middle,female
10040,1,middle,female
5578,1,middle,female
6273,0,middle,female
3304,0,middle,female
3026,0,middle,female
1066,0,middle,female
9974,0,middle,female
11703,1,middle,female
9707,1,middle,female
8794,0,middle,female
11258,1,middle,female
2016,0,middle,female
2027,0,middle,female
5371,0,middle,female
11812,0,middle,female
10706,0,middle,female
9252,1,middle,female
6653,0,middle,female
7342,1,middle,female
4824,1,middle,female
1862,1,middle,female
6732,1,middle,female
1690,0,middle,female
9273,1,middle,female
9475,1,middle,female
10361,0,middle,female
4100,1,middle,female
4902,0,middle,female
8766,0,middle,female
6141,1,middle,female
1235,0,middle,female
530,1,middle,female
1200,0,middle,female
9463,0,middle,female
6820,1,middle,female
11157,1,middle,female
7405,1,middle,female
2306,0,middle,female
7317,1,middle,female
8992,0,middle,female
8323,0,middle,female
7183,1,middle,female
4165,1,middle,female
11138,1,middle,female
10122,1,middle,female
1901,1,middle,female
6255,0,middle,female
9071,1,middle,female
1689,0,middle,female
3636,1,middle,female
5711,1,middle,female
2109,0,middle,female
7559,1,middle,female
1958,0,middle,female
10329,0,middle,female
8500,0,middle,female
9070,0,elderly,female
612,1,elderly,female
8951,0,elderly,female
6332,1,elderly,female
4019,0,elderly,female
4478,0,elderly,female
4628,0,elderly,female
7179,0,elderly,female
9979,0,elderly,female
10270,0,elderly,female
4294,0,elderly,female
4068,0,elderly,female
5421,0,elderly,female
3799,0,elderly,female
6742,1,elderly,female
2039,1,elderly,female
4383,0,elderly,female
4795,0,elderly,female
8514,0,elderly,female
2885,0,elderly,female
1562,0,elderly,female
1529,0,elderly,female
634,0,elderly,female
11861,1,elderly,female
7595,0,elderly,female
3570,0,elderly,female
9143,0,elderly,female
1542,0,elderly,female
11010,1,elderly,female
472,0,elderly,female
1956,0,elderly,female
9446,1,elderly,female
4084,0,elderly,female
2451,0,elderly,female
185,0,elderly,female
5639,1,elderly,female
5925,0,elderly,female
1062,1,elderly,female
5538,0,elderly,female
4124,0,elderly,female
4420,0,elderly,female
7328,0,elderly,female
7523,1,elderly,female
3875,0,elderly,female
11287,0,elderly,female
10338,0,elderly,female
2563,1,elderly,female
9098,1,elderly,female
5542,1,elderly,female
6727,1,elderly,female
8410,0,elderly,female
2582,0,elderly,female
1418,0,elderly,female
2623,0,elderly,female
12339,0,elderly,female
6800,0,elderly,female
1516,1,elderly,female
367,1,elderly,female
1987,0,elderly,female
3457,0,elderly,female
7445,0,elderly,female
6153,0,elderly,female
8305,1,elderly,female
10221,0,elderly,female
10344,1,elderly,female
6375,0,elderly,female
3841,0,elderly,female
8707,1,elderly,female
1154,0,elderly,female
8674,1,elderly,female
3161,0,elderly,female
9704,0,elderly,female
810,0,elderly,female
10135,0,elderly,female
9573,0,elderly,female
7519,0,elderly,female
4818,0,elderly,female
4147,0,elderly,female
9142,0,elderly,female
8492,0,elderly,female
104,0,elderly,female
5131,0,elderly,female
3477,1,elderly,female
10729,0,elderly,female
3276,0,elderly,female
1056,0,elderly,female
1746,0,elderly,female
4209,0,elderly,female
10486,1,elderly,female
5208,0,elderly,female
6257,1,elderly,female
486,0,elderly,female
202,0,elderly,female
11907,0,elderly,female
9581,1,elderly,female
5006,1,elderly,female
2879,0,elderly,female
11292,1,elderly,female
6589,0,elderly,female
4584,0,elderly,female
1902,0,elderly,female
4123,1,elderly,female
12195,1,elderly,female
866,0,elderly,female
382,0,elderly,female
1504,0,elderly,female
1147,0,elderly,female
3959,0,elderly,female
899,0,elderly,female
11596,0,elderly,female
11701,0,elderly,female
1184,0,elderly,female
2810,0,elderly,female
5326,0,elderly,female
3819,0,elderly,female
756,1,elderly,female
1239,0,elderly,female
11696,0,elderly,female
4897,0,elderly,female
4083,0,elderly,female
6449,0,elderly,female
6418,0,elderly,female
2884,1,elderly,female
12105,0,elderly,female
819,1,elderly,female
6864,0,elderly,female
9609,1,elderly,female
2073,0,elderly,female
5322,0,elderly,female
11350,0,elderly,female
6380,0,elderly,female
9925,0,elderly,female
7124,0,elderly,female
10742,1,elderly,female
4037,1,elderly,female
8887,1,elderly,female
10653,0,elderly,female
1933,1,elderly,female
9458,0,elderly,female
11042,0,elderly,female
1346,0,elderly,female
11865,0,elderly,female
10606,0,elderly,female
7171,0,elderly,female
8982,1,elderly,female
8773,1,elderly,female
12222,0,elderly,female
143,0,elderly,female
658,1,elderly,female
9023,0,elderly,female
9484,0,elderly,female
650,0,elderly,female
9073,0,elderly,female
6606,0,elderly,female
3980,1,elderly,female
6806,0,elderly,female
3427,0,elderly,female
7955,0,elderly,female
10951,0,elderly,female
5307,0,elderly,female
1561,0,elderly,female
4856,1,elderly,female
1358,0,elderly,female
8788,0,elderly,female
6667,1,elderly,female
2233,0,elderly,female
11531,0,elderly,female
11867,0,elderly,female
4411,0,elderly,female
9102,0,elderly,female
6373,1,elderly,female
6438,1,elderly,female
3581,0,elderly,female
11615,0,elderly,female
2944,0,elderly,female
11751,0,elderly,female
8635,0,elderly,female
2490,1,elderly,female
94,0,elderly,female
5177,0,elderly,female
