instance_idx,has_recourse,age_group,subgroup
1330,1,young,male
5808,0,young,male
8258,1,young,male
972,1,young,male
2327,0,young,male
3798,0,young,male
129,1,young,male
6667,0,young,male
975,1,young,male
4661,1,young,male
785,1,young,male
1423,1,young,male
1295,0,young,male
8622,0,young,male
5025,0,young,male
3177,1,young,male
409,1,young,male
2832,1,young,male
2364,0,young,male
1068,1,young,male
45,1,young,male
8582,1,young,male
7764,1,young,male
8872,0,young,male
4975,0,young,male
7811,1,young,male
952,1,young,male
1709,1,young,male
8042,0,young,male
6060,1,young,male
8828,1,young,male
2180,1,young,male
1004,0,young,male
3379,1,young,male
2462,1,young,male
6250,0,young,male
1664,0,young,male
7388,1,young,male
6131,0,young,male
3727,0,young,male
4860,0,young,male
392,1,young,male
7279,1,young,male
8387,0,young,male
342,1,young,male
2352,1,young,male
6724,0,young,male
1285,1,young,male
879,0,young,male
7019,0,young,male
3281,1,young,male
3324,1,young,male
1249,0,young,male
8036,1,young,male
8676,1,young,male
4734,1,young,male
2775,1,young,male
2209,1,young,male
1722,0,young,male
2509,0,young,male
970,1,young,male
2291,1,young,male
4360,1,young,male
7771,0,young,male
7945,1,young,male
937,1,young,male
8112,1,young,male
8642,1,young,male
994,1,young,male
4223,1,young,male
4035,0,young,male
105,1,young,male
5823,1,young,male
5091,1,young,male
5902,0,young,male
7783,1,young,male
4124,1,young,male
3198,1,young,male
8087,0,young,male
6012,0,young,male
3818,1,young,male
5867,1,young,male
8880,0,young,male
4825,1,young,male
953,0,young,male
596,0,young,male
2032,1,young,male
2948,0,young,male
5029,1,young,male
2813,0,young,male
3187,1,young,male
7932,0,young,male
844,1,young,male
4009,1,young,male
3395,0,young,male
3755,1,young,male
3074,1,young,male
167,1,young,male
5735,1,young,male
1009,1,young,male
1094,1,young,male
2728,1,young,male
7797,0,young,male
4447,1,young,male
976,1,young,male
6035,0,young,male
1725,1,young,male
3761,0,young,male
3568,1,young,male
5748,1,young,male
2617,0,young,male
6580,1,young,male
8420,1,young,male
8558,1,young,male
5034,0,young,male
5552,0,young,male
4492,0,young,male
1919,1,young,male
7098,1,young,male
6064,1,young,male
1784,1,young,male
128,1,young,male
5100,0,young,male
7612,0,young,male
2395,1,young,male
1655,1,young,male
8396,1,young,male
4006,1,young,male
8572,1,young,male
6207,1,young,male
1039,1,young,male
8679,0,young,male
2294,1,young,male
2026,1,young,male
6237,1,young,male
2520,1,young,male
964,1,young,male
1136,1,young,male
3972,1,young,male
921,0,young,male
203,1,young,male
2646,1,young,male
2067,1,young,male
1074,1,young,male
7116,1,young,male
1399,1,young,male
5202,1,young,male
5645,1,young,male
458,1,young,male
10,1,young,male
8713,1,young,male
7680,1,young,male
4715,0,young,male
4405,1,young,male
7763,0,young,male
3279,0,young,male
313,1,young,male
6112,1,young,male
1357,1,young,male
1081,1,young,male
4867,1,young,male
2829,1,young,male
227,0,young,male
5688,1,young,male
4258,1,young,male
1777,0,young,male
3870,0,young,male
3720,1,young,male
7830,0,young,male
4815,1,young,male
3338,1,young,male
3848,1,young,male
7673,1,young,male
5553,1,young,male
2214,1,young,male
779,1,young,male
7074,0,young,male
670,1,young,male
1140,1,young,male
3489,0,young,male
1291,1,young,male
3705,1,young,male
8906,1,young,male
6888,0,young,male
6057,1,young,male
5268,0,young,male
5152,0,young,male
6453,1,young,male
5470,1,young,male
3506,0,young,male
6894,1,young,male
7431,0,young,male
933,1,young,male
3134,1,young,male
5590,0,young,male
3743,1,young,male
6722,0,young,male
4665,1,young,male
7285,1,young,male
1951,1,young,male
1556,1,young,male
5896,0,young,male
6630,1,young,male
2374,1,young,male
3071,1,young,male
3893,1,young,male
3323,0,young,male
3881,0,young,male
3326,1,young,male
6169,1,young,male
7982,1,young,male
8011,0,young,male
7977,1,young,male
1350,1,young,male
2645,1,young,male
1736,1,young,male
4481,1,young,male
110,0,young,male
7518,1,young,male
235,1,young,male
2237,0,young,male
6236,1,young,male
789,0,young,male
4014,1,young,male
4460,1,young,male
6233,1,young,male
4301,1,young,male
4113,0,young,male
748,1,young,male
4560,1,young,male
345,1,young,male
6134,1,young,male
2993,0,young,male
6928,1,young,male
7823,1,young,male
643,0,young,male
5763,1,young,male
3449,0,young,male
5697,1,young,male
3740,1,young,male
8385,0,young,male
5154,1,young,male
5728,1,young,male
2027,1,young,male
1583,1,young,male
4103,1,young,male
7496,1,young,male
6187,1,young,male
2256,0,young,male
418,1,young,male
1345,0,young,male
320,0,young,male
2255,1,young,male
8045,1,young,male
886,1,young,male
801,0,young,male
4260,0,young,male
3064,1,young,male
223,0,young,male
4008,1,young,male
3366,1,young,male
4064,0,young,male
8410,1,young,male
2439,1,young,male
4240,1,young,male
7666,0,young,male
3690,1,young,male
1151,1,young,male
2319,1,young,male
4370,1,young,male
4354,1,young,male
4115,1,young,male
100,0,young,male
667,1,young,male
5550,1,young,male
8435,0,young,male
6662,0,young,male
215,0,young,male
742,0,young,male
8493,0,young,male
6978,1,young,male
96,1,young,male
6973,1,young,male
6063,1,young,male
4833,1,young,male
6031,1,young,male
4019,0,young,male
3069,1,young,male
347,1,young,male
5836,1,young,male
3472,0,young,male
752,1,young,male
3120,1,young,male
550,0,young,male
2056,1,young,male
3194,1,young,male
8411,1,young,male
2287,1,young,male
7373,1,young,male
4762,1,young,male
5320,0,middle,male
6813,0,middle,male
6295,1,middle,male
3903,0,middle,male
1188,0,middle,male
4155,1,middle,male
4227,0,middle,male
6429,1,middle,male
8550,1,middle,male
6202,0,middle,male
1934,1,middle,male
946,0,middle,male
2079,1,middle,male
8182,0,middle,male
1120,1,middle,male
5954,1,middle,male
3358,1,middle,male
5339,0,middle,male
7762,1,middle,male
7350,0,middle,male
2737,1,middle,male
7751,1,middle,male
7186,1,middle,male
7426,1,middle,male
8135,1,middle,male
5776,0,middle,male
3673,1,middle,male
2763,1,middle,male
5956,1,middle,male
4587,1,middle,male
466,1,middle,male
477,0,middle,male
8117,1,middle,male
7571,1,middle,male
4448,0,middle,male
1507,0,middle,male
5581,1,middle,male
7990,0,middle,male
6162,0,middle,male
5000,1,middle,male
6098,1,middle,male
4459,0,middle,male
6340,0,middle,male
1535,1,middle,male
4820,1,middle,male
5180,1,middle,male
5204,0,middle,male
2794,0,middle,male
7148,0,middle,male
4333,1,middle,male
1435,0,middle,male
7391,1,middle,male
5089,0,middle,male
7914,1,middle,male
2996,1,middle,male
2444,1,middle,male
5891,1,middle,male
5897,1,middle,male
4077,1,middle,male
3254,1,middle,male
7469,1,middle,male
3904,0,middle,male
1037,0,middle,male
3499,1,middle,male
6368,1,middle,male
260,1,middle,male
2517,0,middle,male
1390,1,middle,male
6432,1,middle,male
93,1,middle,male
8091,0,middle,male
2282,1,middle,male
2149,1,middle,male
1214,1,middle,male
1881,0,middle,male
7121,1,middle,male
6455,1,middle,male
7962,0,middle,male
6308,0,middle,male
1031,1,middle,male
8215,1,middle,male
6023,1,middle,male
2334,0,middle,male
1084,0,middle,male
2859,1,middle,male
5825,1,middle,male
2063,1,middle,male
8564,1,middle,male
5041,0,middle,male
1315,1,middle,male
4829,1,middle,male
1301,0,middle,male
8037,0,middle,male
7219,0,middle,male
8068,0,middle,male
8586,0,middle,male
3564,0,middle,male
4887,1,middle,male
5604,0,middle,male
6153,1,middle,male
4631,1,middle,male
3979,1,middle,male
2441,1,middle,male
7274,0,middle,male
6393,0,middle,male
5319,1,middle,male
7606,1,middle,male
1513,1,middle,male
2021,1,middle,male
1561,0,middle,male
6000,0,middle,male
8860,0,middle,male
7594,1,middle,male
3310,0,middle,male
8536,1,middle,male
6464,0,middle,male
1737,1,middle,male
870,1,middle,male
289,0,middle,male
2858,1,middle,male
6418,1,middle,male
6612,1,middle,male
6829,0,middle,male
1008,1,middle,male
7634,1,middle,male
7814,1,middle,male
8853,0,middle,male
1836,1,middle,male
6412,0,middle,male
552,1,middle,male
7354,0,middle,male
2738,1,middle,male
4205,0,middle,male
2887,1,middle,male
2718,0,middle,male
6317,1,middle,male
920,1,middle,male
6900,1,middle,male
823,0,middle,male
1557,0,middle,male
6838,0,middle,male
5628,1,middle,male
75,1,middle,male
2252,1,middle,male
247,0,middle,male
1245,0,middle,male
8343,0,middle,male
1366,1,middle,male
7907,0,middle,male
8120,1,middle,male
4302,0,middle,male
4311,1,middle,male
3494,1,middle,male
2280,0,middle,male
1404,1,middle,male
8573,1,middle,male
4385,1,middle,male
6880,0,middle,male
5397,1,middle,male
8034,1,middle,male
854,0,middle,male
7941,0,middle,male
5912,1,middle,male
6974,1,middle,male
491,1,middle,male
8047,0,middle,male
4643,0,middle,male
1517,1,middle,male
6109,1,middle,male
2614,1,middle,male
4395,1,middle,male
5483,1,middle,male
8673,0,middle,male
3296,1,middle,male
6945,1,middle,male
746,1,middle,male
5285,0,middle,male
5150,1,middle,male
8230,1,middle,male
1130,0,middle,male
6281,1,middle,male
4479,1,middle,male
3434,1,middle,male
108,0,middle,male
8169,0,middle,male
7567,1,middle,male
1465,1,middle,male
518,1,middle,male
8086,1,middle,male
702,0,middle,male
1508,0,middle,male
6579,0,middle,male
7988,1,middle,male
3284,0,middle,male
176,1,middle,male
3257,0,middle,male
7575,0,middle,male
2504,0,middle,male
3567,1,middle,male
2013,1,middle,male
6951,0,middle,male
6712,1,middle,male
2236,0,middle,male
2297,1,middle,male
1013,1,middle,male
1314,0,middle,male
8557,1,middle,male
5575,1,middle,male
8355,1,middle,male
8696,1,middle,male
5547,0,middle,male
325,1,middle,male
225,1,middle,male
6315,1,middle,male
7619,1,middle,male
299,1,middle,male
1474,0,middle,male
6836,0,middle,male
915,1,middle,male
282,1,middle,male
700,1,middle,male
2606,1,middle,male
6175,1,middle,male
7923,1,middle,male
7672,1,middle,male
1308,1,middle,male
1918,1,middle,male
8301,1,middle,male
7573,1,middle,male
7980,1,middle,male
5422,1,middle,male
158,0,middle,male
6197,0,middle,male
2663,0,middle,male
4323,1,middle,male
2964,0,middle,male
6608,0,middle,male
954,1,middle,male
314,1,middle,male
8465,1,middle,male
7529,0,middle,male
430,1,middle,male
8001,1,middle,male
5573,1,middle,male
5381,1,middle,male
1563,0,middle,male
8066,1,middle,male
5699,1,middle,male
3571,1,middle,male
5044,0,middle,male
2132,1,middle,male
6293,0,middle,male
97,1,middle,male
4126,0,middle,male
5885,1,middle,male
5680,0,middle,male
1598,0,middle,male
2627,1,middle,male
7757,1,middle,male
1979,1,middle,male
1841,1,middle,male
8901,0,middle,male
6985,0,middle,male
1275,1,middle,male
8831,1,middle,male
154,1,middle,male
722,0,middle,male
7351,0,middle,male
8298,0,middle,male
8499,1,middle,male
2545,1,middle,male
2762,0,middle,male
6711,0,middle,male
4067,1,middle,male
7208,1,middle,male
4379,0,middle,male
3634,1,middle,male
4798,1,middle,male
800,0,middle,male
2685,1,middle,male
5416,1,middle,male
7697,1,middle,male
2949,0,middle,male
5506,0,middle,male
7187,1,middle,male
4353,1,middle,male
6087,0,middle,male
7750,0,middle,male
8698,0,middle,male
8093,1,middle,male
7220,1,middle,male
515,1,middle,male
1277,1,middle,male
5781,1,middle,male
5767,0,middle,male
6798,1,middle,male
8503,1,middle,male
1706,1,middle,male
7536,0,middle,male
851,1,middle,male
6566,0,elderly,male
2528,0,elderly,male
6249,1,elderly,male
3844,0,elderly,male
4878,0,elderly,male
2833,0,elderly,male
2018,1,elderly,male
2822,1,elderly,male
6318,1,elderly,male
4708,1,elderly,male
4272,1,elderly,male
8735,0,elderly,male
4633,0,elderly,male
6645,1,elderly,male
1016,0,elderly,male
3274,1,elderly,male
6210,0,elderly,male
8678,0,elderly,male
5047,0,elderly,male
4586,0,elderly,male
4675,0,elderly,male
6528,0,elderly,male
2722,0,elderly,male
1076,0,elderly,male
613,1,elderly,male
7524,1,elderly,male
2532,1,elderly,male
4224,0,elderly,male
5892,1,elderly,male
2171,1,elderly,male
3660,0,elderly,male
1965,0,elderly,male
344,1,elderly,male
8542,1,elderly,male
528,1,elderly,male
3666,1,elderly,male
6037,1,elderly,male
2510,1,elderly,male
7780,1,elderly,male
8336,1,elderly,male
2094,1,elderly,male
8395,0,elderly,male
401,1,elderly,male
1298,1,elderly,male
5646,0,elderly,male
7471,1,elderly,male
