instance_idx,has_recourse,age_group,subgroup
10720,0,young,total
1217,1,young,total
3136,1,young,total
4477,1,young,total
7765,1,young,total
7687,1,young,total
8291,0,young,total
10794,0,young,total
11546,1,young,total
6519,0,young,total
6587,1,young,total
2154,1,young,total
10477,0,young,total
14169,0,young,total
12280,1,young,total
9782,1,young,total
13259,0,young,total
1426,0,young,total
13648,1,young,total
13890,0,young,total
7306,0,young,total
7248,1,young,total
6120,1,young,total
631,1,young,total
7717,0,young,total
3021,1,young,total
4914,1,young,total
4298,1,young,total
7806,0,young,total
2307,1,young,total
7141,0,young,total
8851,1,young,total
1686,1,young,total
12840,1,young,total
11709,1,young,total
7797,1,young,total
1086,0,young,total
9683,1,young,total
6846,0,young,total
10979,0,young,total
11257,1,young,total
5271,0,young,total
11448,0,young,total
9906,1,young,total
1513,0,young,total
1863,0,young,total
7589,0,young,total
12432,1,young,total
13327,0,young,total
7812,0,young,total
2980,1,young,total
13101,0,young,total
7764,0,young,total
12111,0,young,total
9136,1,young,total
1133,1,young,total
10953,0,young,total
10015,0,young,total
885,0,young,total
5580,1,young,total
7115,1,young,total
6151,0,young,total
9323,0,young,total
694,0,young,total
10646,0,young,total
6844,1,young,total
10962,0,young,total
8671,1,young,total
6914,0,young,total
13839,1,young,total
8105,0,young,total
659,1,young,total
9118,0,young,total
13800,1,young,total
6719,1,young,total
6923,1,young,total
9086,1,young,total
6967,1,young,total
2605,1,young,total
8241,1,young,total
2061,1,young,total
5676,0,young,total
3743,1,young,total
5314,1,young,total
13492,1,young,total
12138,1,young,total
12471,0,young,total
11956,0,young,total
4315,1,young,total
6680,1,young,total
8229,1,young,total
7131,1,young,total
7014,0,young,total
12232,1,young,total
13268,1,young,total
5864,1,young,total
1618,1,young,total
10861,0,young,total
11348,1,young,total
2626,1,young,total
14239,0,young,total
14268,1,young,total
748,0,young,total
934,0,young,total
12898,0,young,total
311,1,young,total
6906,0,young,total
10513,1,young,total
1461,1,young,total
807,0,young,total
7243,1,young,total
11282,1,young,total
14206,1,young,total
10520,1,young,total
7874,0,young,total
1174,1,young,total
6297,1,young,total
12221,1,young,total
9531,1,young,total
4167,1,young,total
7329,0,young,total
8672,0,young,total
11051,0,young,total
2686,1,young,total
3445,0,young,total
13585,1,young,total
3765,0,young,total
9115,1,young,total
12559,0,young,total
4916,0,young,total
11072,1,young,total
777,0,young,total
3043,0,young,total
8943,0,young,total
