,Total,Young (19–44),Middle (45–64),Elderly (65+),p-value (K-W)
N,21282,6685,8174,6423,
Age (years),53.4 ± 16.8,32.8 ± 7.6,55.2 ± 5.8,72.4 ± 5.0,<0.001
BMI (kg/m²),23.9 ± 3.4,23.5 ± 3.8,24.1 ± 3.3,24.1 ± 3.1,<0.001
Waist circumference (cm),83.4 ± 10.2,80.0 ± 11.0,83.7 ± 9.7,86.5 ± 9.0,<0.001
Body weight (kg),63.9 ± 11.9,66.1 ± 13.6,64.3 ± 11.5,61.0 ± 10.0,<0.001
Fat intake (g),44.2 ± 27.2,53.9 ± 29.2,44.9 ± 26.0,33.2 ± 22.1,<0.001
Dietary cholesterol (mg),233.9 ± 172.8,268.9 ± 173.4,243.3 ± 171.9,185.4 ± 162.3,<0.001
Prevalence (%),30.3%,10.0%,36.3%,43.9%,
Female (%),58.1%,58.0%,59.9%,56.0%,
Current smoking,"2,608 (12.3%)",882 (13.2%),"1,168 (14.3%)",558 (8.7%),
Aerobic PA practice,"9,369 (44.0%)","3,715 (55.6%)","3,591 (43.9%)","2,063 (32.1%)",
Health checkup (past year),"15,628 (73.4%)","4,278 (64.0%)","6,493 (79.4%)","4,857 (75.6%)",
